week_n,year,Temp,SpCond,Sal,DO_Pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor,ATemp,RH,BP,WSpd,MaxWSpd,Wdir,SDWDir,TotPAR,TotPrcp
1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21809815950920244,68.61196319018404,1015.4785276073619,0.5357361963190184,1.4687116564417177,136.67638036809817,21.21319018404908,68.40184049079754,0.024846625766871164
1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.25044642857143,57.836309523809526,1019.0595238095239,1.144047619047619,2.7139880952380953,166.02083333333334,29.269345238095237,89.1139880952381,0.004315476190476191
1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5892857142857144,72.26339285714286,1007.78125,0.7989583333333333,1.9854166666666666,160.44196428571428,27.233630952380953,52.08139880952381,0.011904761904761906
1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5636904761904762,82.63541666666667,1016.7217261904761,0.33554006968641115,1.2259581881533101,154.15156794425087,35.315331010452965,61.948214285714286,0.024404761904761905
1,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,98.9,1011.05,0.005,0.145,80.55,2.45,0,0
2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.187797619047619,72.38392857142857,1017.4419642857143,1.2151785714285714,NA,191.67113095238096,NA,72.49758812615956,0.044642857142857144
2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9868852459016395,83.12965722801789,1013.4940476190476,0.34100719424460435,0.9031175059952038,172.70254110612856,33.10911808669656,72.51453590192645,0.02563338301043219
2,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.507142857142857,72.90045248868778,1011.6324404761905,0.9991071428571429,2.4308035714285716,198.03869047619048,39.191964285714285,NA,0.046875
2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.135863095238095,71.05059523809524,1017.5342261904761,0.5458333333333334,1.363392857142857,179.30059523809524,32.92559523809524,118.86698841698842,0.0019345238095238096
2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.671875,75.69196428571429,1013.2529761904761,0.7477678571428571,1.9700892857142858,190.52232142857142,43.145833333333336,NA,0.01800595238095238
2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.369345238095238,68.66717095310136,1010.6696428571429,1.0818452380952381,2.4532738095238096,200.75595238095238,38.476190476190474,86.66067073170731,0.03675595238095238
2,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5373511904761905,80.97207678883072,1022.3497023809524,0.763095238095238,2.223363095238095,171.7842261904762,47.38095238095238,74.30213740458015,0.007589285714285714
2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.519047619047619,75.23363095238095,1017.7693452380952,0.6264880952380952,1.8242559523809523,154.125,30.800595238095237,81.869850187265925,0.05223214285714286
2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.717410714285714,62.635416666666664,1026.5267857142858,0.861904761904762,2.460267857142857,168.11607142857142,35.96875,107.56489945155393,NA
2,2016,0.0803030303030303,0.4493939393939394,0.196969696969697,96.21515151515152,14.024242424242425,0.31242424242424244,0.20878787878787877,7.962121212121212,2.3484848484848486,0.5227272727272727,-0.5790178571428571,68.95089285714286,1012.4791666666666,1.2208333333333334,2.4876488095238094,178.99255952380952,20.772321428571427,76.41785714285714,0.03571428571428571
2,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8110119047619048,67.00446428571429,1027.1205357142858,0.7483630952380952,2.3130952380952383,142.55505952380952,34.501488095238095,75.90595238095239,0.02619047619047619
2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21726190476190477,71.21130952380952,1020.5982142857143,0.7495535714285715,2.584970238095238,123.59970238095238,46.89434523809524,77.40684523809524,0.065625
2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
