Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
United Kingdom,2005,"Yarn; (not sewing thread), of artificial staple fibres, put up for retail sale",Import,543833,33219,Weight in kilograms,33219
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, unbleached or bleached",Export,5998127,592192,Weight in kilograms,592192
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, unbleached or bleached",Import,6308453,981644,Weight in kilograms,981644
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, other than unbleached or bleached",Export,13133031,909823,Weight in kilograms,909823
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of polyester staple fibres, other than unbleached or bleached",Import,28216474,3629411,Weight in kilograms,3629411
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, unbleached or bleached",Export,135683,12121,Weight in kilograms,12121
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, unbleached or bleached",Import,274916,34851,Weight in kilograms,34851
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached",Export,1076128,60064,Weight in kilograms,60064
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached",Import,4509187,391943,Weight in kilograms,391943
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, unbleached or bleached",Export,650283,14487,Weight in kilograms,14487
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, unbleached or bleached",Import,724204,60050,Weight in kilograms,60050
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, other than unbleached or bleached",Export,5404907,167357,Weight in kilograms,167357
United Kingdom,2005,"Fabrics, woven; of synthetic staple fibres, containing 85% or more by weight of such fibres n.e.c. in heading no. 5512, other than unbleached or bleached",Import,7145395,411628,Weight in kilograms,411628
United Kingdom,2005,"Fabrics, woven; plain weave, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2, unbleached or bleached",Export,7979985,2011967,Weight in kilograms,2011967
United Kingdom,2005,"Fabrics, woven; plain weave, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2, unbleached or bleached",Import,35740450,10232612,Weight in kilograms,10232612
United Kingdom,2005,"Fabrics, woven; 3-thread or 4-thread twill, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Export,311450,42853,Weight in kilograms,42853
United Kingdom,2005,"Fabrics, woven; 3-thread or 4-thread twill, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Import,3054664,1013703,Weight in kilograms,1013703
United Kingdom,2005,"Fabrics, woven; of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Export,243438,34962,Weight in kilograms,34962
United Kingdom,2005,"Fabrics, woven; of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Import,623529,86371,Weight in kilograms,86371
United Kingdom,2005,"Fabrics, woven; containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Export,2066121,119466,Weight in kilograms,119466
United Kingdom,2005,"Fabrics, woven; containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached",Import,921189,176257,Weight in kilograms,176257
United Kingdom,2005,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Export,10377431,1268457,Weight in kilograms,1268457
